Date : 2023-02-20 01:02:03
Directory : c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com
Total : 221 files,  27425 codes, 2993 comments, 5749 blanks, all 36167 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\CommunicationController.java | Java            |         65 |          0 |         19 |         84 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\CoordinationController.java  | Java            |         65 |          0 |         20 |         85 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\DepartementController.java   | Java            |         66 |          0 |         21 |         87 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\EntiteController.java        | Java            |         58 |          0 |         13 |         71 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\FederationController.java    | Java            |         65 |          0 |         21 |         86 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\GradeController.java         | Java            |         55 |          0 |         20 |         75 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\LigueController.java         | Java            |         65 |          0 |         22 |         87 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\PaysController.java          | Java            |         65 |          0 |         22 |         87 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\QuartierController.java      | Java            |         65 |          0 |         18 |         83 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\RegionController.java        | Java            |         67 |          0 |         21 |         88 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\RoleController.java          | Java            |         59 |          0 |         20 |         79 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\UserController.java          | Java            |         76 |          0 |         23 |         99 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\VillageController.java       | Java            |         65 |          0 |         22 |         87 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\VilleController.java         | Java            |         65 |          0 |         22 |         87 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\dto\ReservationRequest.java              | Java            |         66 |         24 |          9 |         99 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\dto\ReservationUpdateRequest.java        | Java            |         14 |          9 |          3 |         26 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\AbstractEntity.java             | Java            |         44 |          6 |         12 |         62 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Cellule.java                    | Java            |         53 |          0 |         10 |         63 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Commission.java                 | Java            |         53 |          0 |          9 |         62 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Commune.java                    | Java            |         72 |          0 |         19 |         91 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\CommuneArrond.java              | Java            |         73 |          0 |         10 |         83 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Communication.java              | Java            |         69 |          0 |         13 |         82 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Coordination.java               | Java            |         56 |          0 |         11 |         67 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Departement.java                | Java            |         72 |          0 |         18 |         90 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Entite.java                     | Java            |         69 |          0 |         13 |         82 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Federation.java                 | Java            |         68 |          0 |         18 |         86 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Grade.java                      | Java            |         56 |          0 |         17 |         73 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Ligue.java                      | Java            |         56 |          0 |         16 |         72 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Pays.java                       | Java            |         72 |          0 |         20 |         92 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Quartier.java                   | Java            |         60 |          0 |          9 |         69 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Region.java                     | Java            |         95 |          0 |         25 |        120 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Role.java                       | Java            |         32 |          0 |         19 |         51 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\User.java                       | Java            |        162 |         30 |         14 |        206 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Village.java                    | Java            |         56 |          0 |         10 |         66 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\entities\Ville.java                      | Java            |         66 |          0 |          8 |         74 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\CelluleRepository.java             | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\CommissionRepository.java          | Java            |          5 |          0 |          5 |         10 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\CommuneArrondRepository.java       | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\CommuneRepository.java             | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\CommunicationRepository.java       | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\CoordinationRepository.java        | Java            |          5 |          0 |          5 |         10 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\DepartementRepository.java         | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\EntiteRepository.java              | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\FederationRepository.java          | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\GradeRepository.java               | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\LigueRepository.java               | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\PaysRepository.java                | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\QuartierRepository.java            | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\RegionRepository.java              | Java            |          7 |          0 |          6 |         13 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\RoleRepository.java                | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\UserRepository.java                | Java            |          8 |          0 |          6 |         14 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\VillageRepository.java             | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\repos\VilleRepository.java               | Java            |          7 |          0 |          5 |         12 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\security\config\WebConfig.java           | Java            |         10 |         19 |          5 |         34 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\security\config\WebSecurityConfig.java   | Java            |         32 |         55 |          3 |         90 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\CelluleService.java              | Java            |         10 |          0 |         11 |         21 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\CelluleServiceImpl.java          | Java            |         37 |          0 |         18 |         55 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\CommissionService.java           | Java            |         10 |          0 |         10 |         20 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\CommissionServiceImpl.java       | Java            |         37 |          0 |         17 |         54 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\CommuneArrondService.java        | Java            |         10 |          0 |         10 |         20 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\CommuneArrondServiceImpl.java    | Java            |         37 |          0 |         16 |         53 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\CommuneService.java              | Java            |         10 |          0 |         10 |         20 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\CommuneServiceImpl.java          | Java            |         37 |          0 |         18 |         55 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\CommunicationService.java        | Java            |         10 |          0 |          9 |         19 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\CommunicationServiceImpl.java    | Java            |         37 |          0 |         16 |         53 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\CoordinationService.java         | Java            |         10 |          0 |         10 |         20 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\CoordinationServiceImpl.java     | Java            |         37 |          0 |         18 |         55 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\DepartementService.java          | Java            |         10 |          0 |         10 |         20 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\DepartementServiceImpl.java      | Java            |         37 |          0 |         18 |         55 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\EntiteService.java               | Java            |         10 |          0 |          9 |         19 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\EntiteServiceImpl.java           | Java            |         37 |          0 |         18 |         55 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\FederationService.java           | Java            |         10 |          0 |          9 |         19 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\FederationServiceImpl.java       | Java            |         37 |          0 |         19 |         56 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\GradeService.java                | Java            |         10 |          0 |         10 |         20 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\GradeServiceImpl.java            | Java            |         37 |          0 |         19 |         56 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\LigueService.java                | Java            |         10 |          0 |         10 |         20 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\LigueServiceImpl.java            | Java            |         37 |          0 |         19 |         56 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\PaysService.java                 | Java            |         10 |          0 |         10 |         20 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\PaysServiceImpl.java             | Java            |         37 |          0 |         20 |         57 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\QuartierService.java             | Java            |         10 |          0 |          9 |         19 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\QuartierServiceImpl.java         | Java            |         37 |          0 |         19 |         56 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\RegionService.java               | Java            |         10 |          0 |         11 |         21 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\RegionServiceImpl.java           | Java            |         37 |          0 |         19 |         56 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\RoleService.java                 | Java            |         10 |          0 |         10 |         20 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\RoleServiceImpl.java             | Java            |         37 |          0 |         18 |         55 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\SecurityService.java             | Java            |          4 |          0 |          4 |          8 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\SecurityServiceImpl.java         | Java            |         27 |          0 |         10 |         37 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\UserDetailsServiceImpl.java      | Java            |         23 |          0 |         11 |         34 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\UserService.java                 | Java            |         10 |          0 |          9 |         19 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\UserServiceImpl.java             | Java            |         37 |          0 |         20 |         57 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\VillageService.java              | Java            |         10 |          0 |         10 |         20 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\VillageServiceImpl.java          | Java            |         37 |          0 |         18 |         55 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\VilleService.java                | Java            |         10 |          0 |          9 |         19 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\service\VilleServiceImpl.java            | Java            |         37 |          0 |         17 |         54 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\util\EmailUtil.java                      | Java            |         27 |          0 |         11 |         38 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\application.properties                                           | Java Properties |         25 |         10 |          9 |         44 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\css\amazingslider-1.css                                   | CSS             |        660 |         21 |         62 |        743 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\css\demo.css                                              | CSS             |        438 |          4 |         12 |        454 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\css\examples.css                                          | CSS             |      1,054 |         32 |         50 |      1,136 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\css\fixed-positioning.css                                 | CSS             |         20 |         19 |          8 |         47 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\css\jquery-ui.css                                         | CSS             |      1,222 |         48 |         43 |      1,313 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\css\main.css                                              | CSS             |        208 |          3 |         36 |        247 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\css\normalize.css                                         | CSS             |        179 |        159 |         85 |        423 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\css\politiconeCss.css                                     | CSS             |         67 |         22 |          7 |         96 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\css\style.css                                             | CSS             |         64 |          3 |          5 |         72 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\resources\static\js\amazingslider-1.css                                    | CSS             |        660 |         21 |         62 |        743 |
